.,assign,bool,comma,compl,const,div,do,domain,else,emit,eq,float,floatval,geq,gt,id,if,int,intval,lbrace,leq,lparen,lt,minus,mod,mult,not,plus,rand,rbrace,returns,rparen,sc,string,stringval,symtable,while,$,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNSIG,FUNCTION,EMIT,RAND,IF,IFELSE,WHILE,DOWHILE,ASSIGN,OTHERTYPE,DECLIDS,FUNTYPE,PARAMLIST,EXPR,STEPS,BRACESTMTS,BSTMTS,BSTMT,DECLLIST,SOLOSTMT,DECLTYPE,DECLID,BEXPR,AEXPR,FUNCALL,ARGLIST,BOOLS,PLUS,TIMES,SUM,PRODUCT,VALUE,UNARY,CAST
83,,,r-72,,,,,,,r-72,,,,,,r-72,r-72,,,r-72,,,,,,,,,r-72,,,r-72,r-72,,,,r-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,r-73,,,,,,,r-73,sh-131,,,sh-132,sh-133,r-73,r-73,,,r-73,sh-134,,sh-135,,,,,,r-73,,,r-73,r-73,,,,r-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-136,,,,,,,
85,,,r-74,,,,,,,r-74,,,,,,r-74,r-74,,,r-74,,,,,,,,,r-74,,,r-74,r-74,,,,r-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,sh-131,,,sh-132,sh-133,,,,,,sh-134,,sh-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-136,,,,,,,
88,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-138,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,sh-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,sh-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-52,,,,,,,,,,,,,sh-141,,,,,,,,,,,,
98,,sh-1,,,,,,,,,,sh-5,,,,,,sh-8,,,,,,,,,,,,,,r-36,,,,,,,,,,,,,,,,,,,,,sh-142,sh-143,,,,,,,,,,,,,,,,,,,,,
99,,r-38,,,r-38,,r-38,,r-38,r-38,,r-38,,,,r-38,r-38,r-38,,r-38,,,,,,,,,r-38,r-38,,,,r-38,,,r-38,r-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,r-44,,,r-44,,r-44,,,r-44,,r-44,,,,r-44,r-44,r-44,,r-44,,,,,,,,,r-44,r-44,,,,r-44,,,r-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,r-45,,,r-45,,r-45,,,r-45,,r-45,,,,r-45,r-45,r-45,,r-45,,,,,,,,,r-45,r-45,,,,r-45,,,r-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,r-47,,,r-47,,r-47,,,r-47,,r-47,,,,r-47,r-47,r-47,,r-47,,,,,,,,,r-47,r-47,,,,r-47,,,r-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,r-46,,,r-46,,r-46,,,r-46,,r-46,,,,r-46,r-46,r-46,,r-46,,,,,,,,,r-46,r-46,,,,r-46,,,r-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
